HR,handGSR,Temp,stress
88.0213,19.9808,36.3685,0
89.7111,20.4111,36.2721,0
83.9773,20.5358,36.3938,0
84.5532,21.3384,36.373,0
88.7021,24.1093,36.1864,1
98.38,23.7947,36.8557,1
108.86,22.5019,36.93,1
97.375,22.4341,36.2933,1
121.5319,24.0912,37.1966,1
94.6809,23.7449,36.9681,1
90.9787,23.4643,37.1716,1
82.5435,22.2868,36.7177,1
81.3636,21.2412,37.4749,1
97.8889,20.0554,37.4954,1
80.7447,19.3574,36.447,0
78.1064,18.8,36.2977,0
86.3191,18.0559,36.2278,0
76.7021,17.7898,37.0885,0
75.9149,20.9315,36.4927,0
88.9362,23.6769,36.0455,1
85.0851,22.1618,37.3186,1
96.3191,21.6809,36.8412,0
90.5532,21.8371,37.0918,0
88.9149,22.1729,36.0215,1
89.5957,22.4156,36.9042,1
71.2553,23.4406,36.7045,1
92.5217,22.2575,37.4946,1
86.5909,20.7998,37.4864,1
84.2955,20.215,36.7741,0
90.5532,19.454,36.7701,0
90.3617,18.9281,36.665,0
85.8936,18.4279,36.4115,0
91.2979,19.0942,36.241,0
117.7609,23.9383,37.1095,1
98.3636,23.0329,36.7867,1
95.9091,21.5513,36.8668,0
75.5217,21.5374,37.1648,0
87.9362,23.6866,36.3626,0
113.4468,27.6529,37.1556,1
105.0851,28.6408,36.0104,1
122.4468,27.1285,36.3012,1
121.2766,25.2782,36.7385,1
121.6136,23.5447,36.3817,1
90.2045,23.7932,36.3624,1
81.5682,23.537,36.9326,1
94.3182,22.5388,37.2585,1
83.2222,21.9697,37.3404,1
85.6739,22.3069,37.0078,0
74.1489,23.1738,36.7944,1
92.0851,23.3278,37.3709,1
104.8511,24.1902,36.815,1
122.5957,25.4909,36.7929,1
83.413,22.9513,37.0011,1
88.4091,23.0808,37.424,1
94.3333,23.5651,37.3606,1
95.5106,22.4698,36.1537,1
87.3404,20.7585,36.1797,0
75.65,19.8092,36.9193,0
96.3404,19.8273,36.524,0
68.4468,20.9748,36.8346,0
73.7021,22.0256,36.4281,0
90.5106,23.0873,37.4954,0
75.65,24.3266,36.1132,0
75.65,25.5744,37.3424,0
116.3404,27.2793,36.3528,1
103.3617,27.1566,36.6045,1
98.9362,27.1795,37.2898,1
71.4681,25.8795,37.3402,1
83.766,25.5122,37.0731,1
90.3043,24.136,36.9822,1
90.6591,23.1754,36.6869,1
90.4318,21.8256,36.6807,1
86.7045,20.7612,37.2812,0
89.6591,19.7989,37.1166,0
94.0682,19.04,37.2928,0
86.2273,18.5125,37.3158,0
81.8636,18.2774,36.0978,0
84.2045,18.0735,36.754,0
82.6364,17.8659,37.4956,0
80.0682,17.3801,36.4471,0
79.1591,16.7831,36.9724,0
80.8409,16.2785,36.5668,0
82.7727,17.1,37.0173,0
75.65,17.1513,36.5877,0
95.2553,16.6019,36.3748,0
93.1489,15.9853,37.1223,0
89.25,15.3959,36.1259,0
83.5,15.0789,37.2197,0
88.5,14.8866,37.2748,0
85.4318,14.7402,37.1551,0
84.0682,14.8595,37.303,0
81.3409,16.2512,36.3518,0
82.6136,16.1885,36.6693,0
82.9762,15.6373,36.4034,0
78.9286,15.0358,37.2211,0
82.5455,14.5447,37.3527,0
87.9778,15.3061,36.7323,0
81.1505,15.9671,36.762,0
71.4573,11.806,36.6912,1
78.5579,11.0902,36.962,1
85.3773,11.6346,36.7003,1
88.941,11.5044,36.3645,0
71.4043,10.9454,36.7226,0
71.8401,10.975,36.7735,0
74.7632,14.3216,36.4788,0
71.9429,12.8194,36.0544,0
70.1225,13.7918,36.9079,0
70.6862,14.0002,36.1012,0
70.3274,13.2246,36.1236,0
70.0198,12.0306,37.3094,0
71.4414,11.26,37.3051,0
68.9943,10.5094,36.0893,0
65.6261,9.561,36.7132,0
68.1786,9.0656,37.2444,0
72.8097,8.5234,36.8522,0
69.0732,8.0648,36.0518,0
66.8628,7.556,36.0836,0
67.0733,7.1232,37.224,0
68.7575,6.7834,36.8199,0
70.2837,6.4634,36.274,0
71.4152,6.1994,36.5289,0
72.4677,5.9548,36.117,0
71.6519,5.791,37.0257,0
69.9416,5.708,37.2282,0
69.6257,5.5512,36.6937,0
71.8098,5.4148,36.5641,0
67.7048,5.2946,36.6382,0
68.3891,5.1774,36.2849,0
71.3361,5.0794,37.2047,0
69.5995,5.033,36.7032,0
66.9154,4.9866,36.5264,0
69.0777,4.9238,36.1473,0
66.5779,4.8802,36.2131,0
66.4946,4.8788,37.3375,0
63.3283,4.853,36.3102,0
63.9114,4.813,36.5545,0
66.2168,4.783,37.3071,0
68.7241,4.7612,37.1708,0
71.4153,5.9996,36.8542,0
70.3889,16.1794,36.7207,0
68.1787,23.3586,37.313,0
68.9681,19.7182,36.945,0
98.9153,27.697,36.4625,0
71.231,24.0508,37.379,0
72.8591,27.4896,36.9721,0
68.5997,21.8644,37.2345,0
68.3104,21.0924,36.5776,0
70.2573,20.5814,36.8181,0
93.8093,23.0964,37.181,0
79.0732,21.6216,36.3014,0
71.0993,19.879,36.0543,0
70.0205,18.992,36.4743,0
75.0731,18.9676,36.8768,0
69.1993,18.4914,37.4451,0
72.3689,25.246,37.3073,0
80.2371,23.381,37.4593,0
81.9696,22.1948,36.9018,0
80.9454,20.5292,36.3864,0
79.2859,20.0038,36.7819,0
70.2505,18.782,37.0502,0
70.8362,18.4246,37.2831,0
70.0732,18.0228,37.3635,0
77.3889,19.8352,36.4666,0
71.9684,19.2472,36.0318,0
71.1222,21.798,36.0879,0
72.6862,20.6892,36.0856,0
73.1689,23.7808,37.4079,0
78.5832,20.891,36.2476,0
77.968,19.8692,36.6186,0
71.3274,20.5572,37.1127,0
68.6097,18.9504,37.3603,0
71.5582,20.6458,37.4443,0
74.5577,21.5486,36.0152,0
69.0196,21.3812,36.3133,0
79.6856,19.626,36.8713,0
80.2434,22.4344,36.0725,0
75.65,22.1004,36.1105,0
72.9683,22.0412,36.0889,1
74.9683,20.674,36.4436,1
74.1735,21.0842,36.8073,1
70.5069,19.5556,36.5178,1
71.8401,20.492,36.2582,1
74.5067,20.063,36.7406,1
76.917,20.0576,36.5828,1
69.2762,19.3872,37.1706,0
71.1992,23.0162,36.8369,0
77.4805,21.8886,36.6667,0
76.327,20.759,37.05,1
71.3272,19.9762,36.7333,1
72.4812,19.9176,36.1601,1
73.4556,20.094,36.0733,1
73.0708,20.4002,36.7076,1
72.2504,19.736,36.1949,1
72.7121,21.605,36.1025,1
70.9173,21.4274,37.4876,1
72.5583,21.6722,36.7512,1
73.8402,21.2604,36.3801,1
72.6609,22.0326,36.4659,1
70.9429,20.8932,36.1565,1
71.302,19.9148,37.0939,1
70.6608,19.4288,36.9067,1
68.3627,19.1298,36.6374,1
67.6787,23.3218,36.0274,1
66.6787,20.7314,37.4968,1
70.8626,20.6114,36.3292,1
72.7834,22.5314,36.286,1
67.9417,20.5652,36.4874,1
69.3889,20.1586,36.0498,0
77.6783,19.2506,36.0648,0
68.5207,18.5308,37.4357,0
68.4417,18.4574,36.5806,0
68.8627,19.1106,36.1156,0
70.5993,20.1878,37.1239,0
71.9677,20.1804,36.1956,0
92.6585,20.5232,36.7435,0
75.8434,21.0778,37.0199,0
78.286,20.5528,36.7601,0
78.8928,26.4884,36.8215,1
79.4294,24.369,36.8579,1
76.941,23.2714,36.7563,1
74.3099,22.5654,36.4873,1
70.81,21.8908,36.7753,1
71.0469,23.1696,36.5278,1
95.2307,25.7204,36.1089,1
75.2243,24.4706,36.4715,0
77.0192,22.1368,36.1671,0
74.5323,23.7122,37.4546,0
73.3784,22.1916,36.4421,0
71.2761,21.2744,36.3075,0
68.0207,20.5634,37.2153,0
69.8626,19.7606,37.1457,0
76.8401,19.2134,37.179,1
72.9172,18.8984,36.2015,1
71.1479,18.308,36.3292,1
72.3274,17.8666,36.5691,1
71.4556,17.8448,36.8457,1
68.0472,17.7814,36.6589,1
78.4672,25.6272,36.9453,1
69.4415,22.5988,36.0156,1
75.8356,22.04,36.4138,1
72.7887,21.5684,37.2937,1
73.8913,22.223,37.0661,1
76.7371,21.0098,37.1573,1
78.8653,23.4178,36.4183,1
70.8915,21.5952,37.1302,1
72.231,21.8618,36.6916,1
63.1518,25.9008,36.4693,1
78.3356,22.3736,37.2695,1
83.3092,21.1086,37.2636,1
83.8874,20.2944,37.4522,1
81.2563,20.059,37.0994,1
96.7283,19.4986,36.2069,1
100.8372,18.912,36.0487,1
73.7117,18.7172,37.2291,1
76.4083,18.3686,36.9811,0
80.92,19.3228,37.2375,1
81.554,27.965,36.1881,1
76.3349,23.2374,36.0731,1
74.0937,21.7688,37.0704,1
70.2249,21.2212,36.9789,1
75.8143,21.3052,36.3103,1
73.8912,22.2008,36.4637,1
76.1475,26.0156,36.102,1
85.283,28.4058,37.3021,1
75.4298,29.3774,36.5056,1
83.993,27.286,37.1234,1
108.7629,27.7244,36.2236,1
77.8652,24.1462,36.7796,1
77.2568,22.486,36.825,1
79.3266,23.327,36.6279,1
69.8147,24.097,36.3728,1
73.2503,22.6198,36.6668,1
71.0967,22.0716,36.3934,1
68.7889,22.1674,36.9898,1
73.9938,21.8212,37.2098,1
66.8398,24.198,36.9524,1
73.1481,22.0702,37.1381,1
74.3527,23.5062,37.464,1
80.7367,22.2936,36.9215,1
81.5059,25.7004,37.2718,1
71.7117,23.5516,37.1155,1
73.1478,22.1146,36.0281,1
75.3528,24.726,37.1207,1
72.9939,22.1974,36.0311,1
70.0967,22.9278,36.4437,1
75.1732,21.1948,36.4188,1
82.506,20.3996,36.9856,1
76.327,19.6946,36.7384,1
90.6349,19.2086,37.4572,1
72.8654,21.8592,37.0564,1
68.8189,20.252,36.9244,1
92.187,21.5536,37.1078,1
102.7161,22.0576,37.1486,1
76.53,24.5726,36.1847,1
76.0181,24.3062,36.6553,1
77.6274,27.3002,36.7808,1
78.4325,26.8474,37.1433,1
75.5938,24.6314,36.0396,1
74.3273,27.8154,36.9335,1
77.2243,25.2122,37.4868,1
68.404,25.544,36.5576,1
75.0706,26.164,36.3815,1
74.1476,23.9114,37.2895,1
76.1253,24.6126,37.478,1
72.7834,22.6614,36.4255,1
74.1517,21.7558,36.3658,1
77.3882,20.911,37.2337,1
72.3623,20.113,36.0665,1
71.4678,19.4318,36.8561,1
67.3629,18.8778,36.7187,1
70.3625,18.393,37.2914,1
71.7045,18.6992,36.4919,1
72.9412,17.9948,36.3494,1
69.7047,18.283,36.9647,1
71.8625,17.6942,36.664,1
70.7046,17.4038,36.0117,1
74.2244,16.896,36.0435,1
73.0195,16.4054,36.8514,0
74.2502,15.9582,37.3719,0
78.5722,17.566,36.5364,0
78.5197,17.1968,36.4966,0
62.6259,16.768,36.9083,0
79.9406,16.2818,37.4615,0
78.6249,15.8576,37.4119,0
76.7304,15.4084,37.1854,0
68.5206,14.9754,37.3623,0
73.7307,15.0458,37.4794,0
71.1783,14.755,36.322,0
69.0996,14.9476,36.7211,0
69.3627,14.5304,36.9782,0
68.8101,17.3886,36.3743,0
69.5326,16.4106,36.252,0
72.1222,16.0058,37.4372,0
73.1221,15.4464,36.7539,0
74.8911,14.9338,36.5372,0
75.0449,14.4566,36.8534,0
69.0969,14.5304,36.6001,0
68.9417,16.6454,36.6643,0
80.2724,3.1793,37.2565,0
75.65,2.8146,37.3864,0
75.65,2.8782,36.8633,0
88,2.8962,36.4288,0
89.6,2.854,37.4903,0
85,3.0497,37.0146,0
75.65,3.4615,36.7891,0
75.65,3.348,36.1665,0
82.6,3.7465,36.1811,0
79.6,3.666,36.9983,0
86.2,3.6291,36.0283,0
90,3.4573,36.6465,0
90.2,3.3614,37.1512,0
75.2,3.3344,36.7103,0
88.4,3.1908,37.4124,0
90.8,3.2547,37.2385,0
72.2,3.3213,37.3622,0
84.6,3.1328,37.0908,0
83,3.088,36.2768,0
84.6,3.0366,36.0051,0
83,2.9576,37.4716,0
88.6,2.9931,37.4264,0
79.2,2.9039,36.3932,0
92.8,2.7297,37.42,0
79.2,2.5912,36.4687,0
86,2.51,37.0885,0
80.4,2.4655,36.5323,0
91.4,2.4143,37.108,0
80.2,2.3912,37.3003,0
86.6,2.365,36.4304,0
85.4,2.3313,36.8289,0
86.2,2.2931,37.1265,0
84.4,2.2754,37.1715,0
80.8,2.2621,37.2531,0
81.4,2.262,36.8801,0
76.4,2.253,36.2958,0
91.2,2.224,36.6328,0
98.2,3.2484,36.7175,0
78.8,4.7988,37.4325,0
66.2,4.1949,36.041,0
75.65,5.0127,36.6765,0
96.6,4.6283,36.0972,0
75.65,4.7978,37.2462,0
75.65,4.2271,36.4826,0
92.4,4.0911,36.4693,0
75.65,4.3739,36.1859,0
75.65,4.4629,36.2017,0
75.65,4.1726,37.3112,0
75.65,3.8691,36.416,0
75.65,3.9531,36.6545,0
88.2,3.8425,37.1994,0
91.8,4.3864,36.2892,0
75.65,4.7062,37.4275,0
82.8,4.6177,36.432,0
95.8,4.2907,36.5267,0
84,4.1766,36.7276,0
87.6,4.1333,36.6145,0
87.6,3.9359,36.3235,0
96.4,3.942,37.1898,0
92,3.8444,36.4435,0
75.65,4.1248,37.457,0
79.8,4.0253,37.2213,0
98.8,4.1739,36.0549,0
88.2,4.3659,36.2734,0
75.65,4.3901,37.0806,0
75.65,4.023,36.1538,0
91.4,3.8201,37.1483,0
86.4,4.0766,36.6773,0
80.8,4.2804,36.053,0
83,5.3916,36.2671,1
88.2,5.5855,36.8074,0
92.8,6.1794,36.1756,1
106.4,6.5177,37.0786,1
93.4,6.4323,37.2417,1
88,5.9526,37.2736,1
111.6,5.4821,36.6372,1
92.6,6.1535,36.0173,1
86.2,6.06,36.6007,1
58.4,5.5087,36.0553,1
93.4,5.1309,36.2966,1
120.65,5.0761,36.6455,1
89.6,5.3939,36.3297,0
75.65,5.1465,37.4352,0
92.4,4.8541,36.7577,0
86.6,4.6835,36.4818,0
90.4,4.517,37.4004,0
80.8,4.4324,36.6544,0
91.8,4.4456,36.2837,0
86.4,4.3201,37.4602,0
93,4.5163,36.9398,0
84.8,4.571,37.4203,0
75.65,4.6659,36.8495,0
75.65,4.5189,36.4424,0
75.65,4.5777,36.986,0
95.6,4.491,37.061,0
95.2,4.6257,37.0561,0
82.6,4.7723,37.0129,0
91.4,4.6767,37.4628,0
76.4,5.2425,36.3603,0
86.6,5.6705,37.3447,0
90.8,5.8776,36.3304,0
97.4,5.8734,37.4151,0
120.65,6.3766,36.1666,1
91.2,7.0592,37.1637,1
81.8,6.5929,36.6601,1
92,6.1289,36.8053,1
112.6,5.7857,36.9952,1
100,5.5671,36.0533,1
84.8,5.2418,36.1189,1
85.4,5.0605,37.0309,1
84.6,5.382,36.789,1
92.6,6.0276,36.6001,1
101.8,6.7143,36.1872,1
112.4,6.7172,36.217,1
90.2,6.2862,37.2964,1
83.8,6.6146,36.9837,1
115.2,8.0492,36.4184,1
97,7.3351,36.7702,1
38.2,6.9877,37.3254,1
81.8,6.4871,36.6706,1
82.8,5.9618,36.408,1
78.2,5.6194,36.3531,1
83.2,5.2665,36.9267,1
120.65,5.0303,36.3953,1
90,4.8521,37.2416,0
80.4,4.957,37.237,0
87.8,5.0416,36.1764,0
111.8,6.525,37.2268,1
91.6,7.4287,37.0582,1
74,7.5541,36.8662,1
99.4,6.5571,37.2011,1
83,5.8202,36.4332,1
109.6,5.4452,36.6891,1
91.6,5.2758,36.9095,1
93.6,5.4077,37.1405,0
84.2,5.1484,36.6532,0
90.8,5.2914,36.6811,0
11.8,5.9214,36.1239,0
91,5.5643,36.61,0
75.65,5.6195,36.9647,0
86,5.738,36.9638,0
86.4,5.5819,36.8073,0
82.4,5.8555,36.6624,0
120.65,7.0048,36.7488,1
105,8.3254,36.4009,1
93.8,8.2719,36.9702,1
99.6,8.197,36.8244,1
87.2,7.3001,36.6148,1
92.8,6.4381,37.3155,1
83,6.0093,36.9111,1
91.4,6.0346,37.223,1
80.8,6.4411,37.1379,1
100.2,6.5144,37.0512,1
120.65,7.5159,36.9546,1
99.4,8.281,36.0835,1
88.4,8.2377,36.5374,1
92.8,7.8012,36.6863,1
120.65,8.5225,36.6978,1
97.2,10.0815,36.552,1
79.2,8.5972,37.2636,1
84.8,7.7711,36.2411,1
89.4,8.5152,37.4977,1
78.2,7.4288,36.1669,1
99.8,6.7469,36.1826,1
47.2,6.9168,37.0796,1
87,6.8631,36.8412,1
89.6,6.2286,36.1218,1
120.65,6.8395,36.2756,1
91.4,6.0488,36.5285,1
81.8,5.7752,36.635,1
82.6,5.6268,36.0926,1
83.6,5.6062,36.7247,1
92.8,5.7545,36.7356,1
92.2,5.3488,36.2226,1
103.2,5.2002,37.4549,1
120.65,5.0442,36.3592,1
120.65,4.9286,36.8449,1
67.6,5.2929,37.0076,0
46.8,5.0655,36.8251,0
88,5.1552,36.1791,0
75.65,5.1934,37.259,0
93.6,6.0253,36.445,1
98.8,6.0632,36.0572,1
99.6,7.1724,36.3438,1
111.4,8.6184,36.1097,1
114.4,8.8709,36.0447,1
96,8.4315,36.0045,1
65.2,7.3849,36.4858,1
98.8,6.9108,36.2603,1
87.6,6.6466,36.8201,1
89.6,6.4113,36.6025,1
88.4,6.5319,36.878,1
96.2,7.0152,37.3712,1
88.6,6.2098,37.0419,1
86.8,5.7544,36.729,1
96.2,5.4762,36.081,1
98.4,5.2765,36.7725,1
83.8,5.1046,36.6541,1
75.8,5.1475,37.2014,1
82.4,5.2403,37.2702,1
90,5.1825,37.0553,1
78.8,5.4767,36.8197,1
79.6,5.3508,37.0346,1
83,5.0748,37.0156,1
84.8,5.4295,36.2312,1
82,6.0233,36.8046,1
93.6,5.8902,36.2814,1
40,6.6068,36.1139,1
91,6.4536,37.0178,1
95.2,6.6138,37.1618,1
85.2,7.2194,37.4913,1
79.2,6.8545,37.4829,1
86,6.115,36.0677,1
86.2,6.3028,36.37,1
86.6,6.5273,37.1019,1
80.2,7.6903,36.4802,1
81.6,7.5612,37.3669,1
83.8,6.9601,36.841,1
76.6,6.3396,36.098,1
82.2,6.1992,36.8481,1
80.2,5.7712,37.2937,1
107.2,5.5914,36.2613,1
79.6,5.4653,36.5863,1
68.5934,4.0656,36.7564,1
73.7928,5.4288,36.4059,1
86.7914,5.9191,37.2069,1
70.1932,6.2631,37.0832,1
66.1936,6.2449,37.1189,1
66.5934,6.4529,36.3823,1
66.7936,6.3833,37.2671,1
65.1936,6.9675,36.1021,1
70.3928,5.8995,36.6167,1
70.1932,4.8538,37.313,1
68.1932,4.3344,36.1187,1
71.593,3.9938,36.5476,1
64.3936,3.7224,36.2951,1
66.1936,3.5301,36.1852,1
66.9932,3.3587,37.3854,1
74.3926,3.229,37.2654,1
67.1934,3.1187,36.6629,1
67.5932,3.0316,36.6241,1
63.5938,2.9471,36.2544,1
63.1938,2.8823,36.5809,1
67.7934,2.8161,36.6918,1
64.5936,2.7683,36.4759,1
68.993,2.736,36.0928,1
56.7942,2.7087,36.6063,1
66.9934,2.6666,36.4805,0
68.9932,2.6449,36.3132,0
64.9934,2.6436,37.1698,0
70.193,2.6054,36.9407,0
70.193,2.5554,36.8929,0
62.7938,2.5216,36.8886,0
74.9924,2.4971,37.2072,0
61.7938,2.4837,37.1327,0
68.7932,2.4587,36.9396,0
58.7944,2.444,37.4236,0
61.7938,2.4183,37.2473,0
68.3932,2.3949,36.6675,0
66.9932,2.3786,36.093,0
71.1928,2.3981,36.6612,0
65.1936,2.4033,36.7119,0
58.5942,2.4292,37.239,0
66.1934,2.4211,36.6093,0
67.5934,2.3909,37.1843,0
64.1936,2.3643,37.1191,0
67.793,2.3814,37.2803,0
63.5938,2.3747,36.1852,0
59.1942,2.3488,36.8879,0
95.1902,2.3212,37.2246,0
65.5936,2.3004,36.2276,0
64.9936,2.2932,36.6893,0
74.3928,2.2725,37.1199,0
71.793,2.2697,36.118,0
63.7938,2.2677,37.4188,0
58.2667,4.7986,36.4026,0
69.8684,8.2776,36.4257,1
80.9737,7.7458,36.398,0
70.1081,7.7384,37.2003,1
72.5789,8.0446,36.4714,1
68.1579,7.9182,36.1933,1
71.8421,8.1096,36.5915,1
71.4,8.0548,36.289,1
59.4872,8.3596,36.8905,1
82,8.546,37.1824,1
73.2632,8.3186,36.7168,0
77.5833,8.1386,36.9425,0
69.5,7.709,37.1179,0
65.1111,7.272,36.4671,0
68.9722,6.9629,36.854,0
76.9722,6.7233,36.4113,0
75.6944,6.4205,36.6395,0
75.0556,6.167,36.8061,0
72.4211,5.9006,36.5036,0
79.1842,5.7262,36.023,0
75.3158,5.6436,37.4464,0
76.0526,5.4524,36.4302,0
76.3684,5.2588,36.2751,0
70.8421,5.0753,37.481,0
73.2308,4.9089,36.1073,0
77.4615,4.8435,37.1104,0
76.2927,4.916,36.2493,0
73.4878,5.0013,37.1147,0
70.7805,5.4225,36.6838,0
79.0513,5.8654,36.6937,1
77.5897,6.1298,36.2735,1
66.525,5.8719,36.7862,1
82,5.6911,37.4511,0
88.6829,5.614,37.1004,0
73.7805,5.8216,36.3761,0
73.9756,5.9891,36.2129,1
78.9268,5.9479,36.9663,0
73.6341,5.8125,36.1541,0
83.3171,6.4007,37.0264,0
81.0488,7.332,37.0009,1
80.6585,6.9153,36.6368,0
89.8537,8.9522,36.1714,0
87.9268,8.9258,37.0428,1
75.65,8.811,36.5206,0
73.0513,9.687,37.2253,0
85.3846,9.6878,36.4545,0
72.5128,9.7457,36.4527,1
75.8718,9.1292,36.1749,1
71.8974,8.6438,36.6916,0
92.35,9.1685,36.463,0
81.7317,11.5275,37.0059,1
93.3171,11.0349,36.595,1
96.9512,11.6219,36.1981,1
83.7073,12.6684,36.0866,1
84.9268,12.0762,37.4247,1
89.9024,11.5998,37.0427,1
89.3171,11.5433,36.4375,1
89.1463,11.8814,36.3144,1
80.7317,11.6907,36.5255,1
83.3659,12.3288,36.0944,1
87.3659,12.4615,37.3345,1
94.0488,11.5411,37.3843,1
103.6829,11.3836,37.0879,1
88.0976,10.8575,37.0642,1
80.439,10.8306,36.0073,1
82.3902,11.3978,36.2952,1
84.5854,12.2823,37.4908,1
75.9756,11.1333,37.0963,1
77.1795,10.7062,36.0937,1
79.625,10.8571,37.1416,1
77.2683,11.2432,37.3675,1
79,11.3391,36.1006,1
76.6829,11.1897,36.6718,1
79.9756,11.8924,36.025,1
80.5366,11.5913,36.8164,1
78.561,11.4415,36.3033,1
78.7805,12.3347,36.0111,1
70.7317,11.3059,37.1573,1
120.65,10.8748,37.4966,1
84.8293,11.0824,36.2329,1
84.439,11.3524,36.6298,1
84.4146,11.794,37.23,1
90.4878,11.6396,36.073,1
103.4146,12.2744,37.4254,1
96.3571,12.4679,37.0043,1
80.6279,10.7886,37.1381,1
81.186,10.676,36.8152,1
79.3488,11.9427,36.6318,1
88.3023,11.8367,36.0096,1
91.7955,12.3001,36.7677,1
89.1136,11.5267,37.4163,1
78.7045,11.0264,37.2811,1
78.0476,11.0658,36.2767,1
87.5366,11.7936,36.1514,1
83.1707,11.0966,36.6779,1
79,10.5123,36.9987,1
78.65,10.6448,37.4432,1
75.3333,10.086,37.1208,0
76.2308,10.0144,37.3201,0
77.2,10.8506,37.4993,1
88.25,12.2199,37.3352,1
91.4103,12.0171,36.0704,1
79.3846,10.8583,36.8055,1
72.2564,10.3239,36.4072,1
115.8205,11.2369,36.7796,1
76.1026,11.5411,36.5632,1
75.7317,11.0553,37.1637,1
83.0732,11.7085,36.13,1
83.7561,11.8216,36.6125,1
81.9268,12.2479,37.2816,1
77.2683,11.8455,36.2696,1
76.4878,12.0266,36.7659,1
74.2927,12.0348,36.0075,1
75.878,11.9579,36.9212,1
81.8537,12.2092,37.4138,0
92.5122,15.7928,37.3596,1
115.4634,15.2048,36.7031,1
91.3902,13.3014,36.8282,1
112.5581,12.9375,36.8123,1
86,12.3604,36.1585,1
96.8049,13.2177,36.6938,1
93.6364,13.0298,36.2411,1
91.9783,12.1787,36.5441,1
92.766,11.9839,37.4,1
107.3404,13.5772,36.1347,1
100.9556,13.9423,36.9326,1
87.4048,12.6198,37.2589,1
81.5366,11.957,36.1504,1
73.675,11.6173,36.7515,1
80.641,10.9921,37.3623,1
72.5128,11.7735,37.0963,1
72.3846,11.1822,37.3826,0
73.875,10.8268,37.4255,0
77.5366,11.4021,36.3862,0
81.3659,10.9599,36.4997,0
85.5366,11.4702,37.4153,0
77.9268,11.8186,36.5366,0
76.2439,11.5363,36.1403,0
68.4146,11.1643,37.0644,0
76.3171,10.9362,36.7436,0
77.6829,11.2178,36.9418,0
76,11.1425,36.7418,0
78.6585,10.9647,36.5417,0
79.7073,10.9737,37.281,0
79.7143,11.1923,37.021,0
82.1818,10.7133,36.3538,0
84.6364,10.7277,37.2214,0
85.1591,13.2817,37.1139,0
92.1905,16.555,36.1889,1
96.9024,15.2117,37.0925,1
99.2381,14.9528,36.6016,1
88.5854,15.3379,36.4777,1
81.9524,13.7479,36.6345,1
